Crop,N,P,K
Rice,100,47,33
Wheat,59,76,65
Maize,142,62,23
Cotton,142,36,55
Sugarcane,120,44,51
Tomato,68,75,45
Potato,35,71,34
Soybean,128,25,46
Groundnut,32,66,61
Barley,80,26,30
Millets,87,23,25
Coffee,159,79,32
Tea,67,42,25
Banana,24,79,63
Mango,46,35,23
Watermelon,137,53,33
Onion,59,72,51
Garlic,132,26,75
Carrot,148,23,52
Cabbage,83,28,61
Brinjal,69,59,68
Chilli,65,24,76
Pepper,158,54,80
Cucumber,76,34,32
Pumpkin,139,34,48
Spinach,121,66,74
Lettuce,121,51,24
Peas,109,33,25
Beans,81,43,64
Mustard,139,68,63
Sunflower,92,69,79
Sesame,106,40,40
Jute,22,58,45
Rubber,68,66,38
Apple,141,76,58
Orange,116,64,63
Grapes,91,77,47
Papaya,110,76,67
Pineapple,26,75,54
Coconut,116,70,74
Pear,42,24,25
Plum,26,30,64
Strawberry,114,41,52
Raspberry,76,34,30
Blueberry,155,52,39
Lemon,102,28,47
Lime,108,50,32
Fig,127,79,63
Guava,114,30,36
Pomegranate,134,59,67
Turmeric,91,41,40
Ginger,124,27,44
Cardamom,146,76,71
Clove,29,34,21
Cinnamon,102,62,75
Black Pepper,97,80,35
Arecanut,140,54,24
Cashew,32,34,80
Almond,88,79,41
Walnut,153,70,60
Millet Sorghum,86,71,55
Foxtail Millet,123,22,58
Pearl Millet,136,37,52
Finger Millet,157,34,54
Proso Millet,87,76,50
Buckwheat,107,27,60
Quinoa,119,53,56
Oats,48,75,47
Rye,39,47,69
Tobacco,157,80,73
Chickpea,67,26,43
Lentil,141,53,36
Kidney Bean,58,68,26
Black Gram,69,40,78
Green Gram,46,79,75
Pigeon Pea,82,73,49
Horse Gram,33,69,31
Cowpea,95,38,65
Moth Bean,140,48,21
Lupin,21,51,54
Okra,32,53,72
Radish,125,72,42
Beetroot,23,46,34
Turnip,51,75,45
Sweet Potato,109,43,21
Tapioca,60,77,48
Yam,123,24,44
Artichoke,140,26,66
Asparagus,73,38,69
Celery,34,48,55
Broccoli,101,73,62
Cauliflower,62,39,59
Mushroom,31,40,55
Dragon Fruit,153,31,31
Avocado,97,55,27
Olive,70,76,24
Saffron,76,39,67
Vanilla,96,69,32
Coffee Arabica,102,53,34
Tea Assam,44,23,26
Betel Leaf,96,25,48
Mint,31,51,77
Basil,141,71,73
Coriander,50,70,27
Fennel,37,66,43
Dill,88,34,35
Lavender,140,46,24
Rose,56,52,32
Jasmine,46,44,59
Sunhemp,42,58,45
Flax,109,40,67
Hemp,84,23,27
Kenaf,38,30,72
Ramie,107,34,77
Indigo,81,80,51
Sugar Beet,67,46,50
Oil Palm,128,47,79
Mustard Greens,130,27,28
Amaranth,56,38,30
Moringa,149,57,62
